reference_designator,name,start_depth,end_depth,location
CE04OSSM-RID27-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE04OSSM-RID27-01-OPTAAD000,Spectrophotometer,7,7,Near Surface Instrument Frame
CE04OSSM-RID27-02-FLORTD000,3-Wavelength Fluorometer,7,7,Near Surface Instrument Frame
CE04OSSM-RID27-03-CTDBPC000,CTD,7,7,Near Surface Instrument Frame
CE04OSSM-RID27-04-DOSTAD000,Dissolved Oxygen,7,7,Near Surface Instrument Frame
CE04OSSM-SBC11-00-CPMENG000,Platform Controller,0,0,
CE04OSSM-SBD11-00-DCLENG000,Data Concentrator Logger (DCL),0,0,
CE04OSSM-SBD11-01-MOPAK0000,3-Axis Motion Pack,0,0,"Buoy Well, center of Mass"
CE04OSSM-SBD11-02-HYDGN0000,Hydrogen Sensor,0,0,Buoy Well
CE04OSSM-SBD11-04-VELPTA000,Single Point Velocity Meter,1,1,Bottom of Buoy
CE04OSSM-SBD11-06-METBKA000,Bulk Meteorology Instrument Package,-3,-3,Buoy Tower
CE04OSSM-SBD12-00-DCLENG000,Data Concentrator Logger (DCL),0,0,
CE04OSSM-SBD12-03-HYDGN0000,Hydrogen Sensor,0,0,Buoy Well
CE04OSSM-SBD12-04-PCO2AA000,pCO2 Air-Sea,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CE04OSSM-SBD12-05-WAVSSA000,Surface Wave Spectra,0,0,"Buoy Well, center of Mass"
CE05MOAS-GL247-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL247-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL247-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL247-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL247-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL247-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL311-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL311-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL311-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL311-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL311-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL311-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL312-00-ENG000000,Mobile Asset Controller,0,1000,
CE05MOAS-GL312-01-PARADM000,Photosynthetically Available Radiation,0,1000,
