Array,CUID,CTD_CruiseName,CTD_CruiseLeg,Notes,filepath_primary,Quick_Look_Report,Cruise_Report,filepath_water_sampling,CTD_log_filename,chla_filename,nutrients_filename,DIC_TA_pH_filename
Coastal_Pioneer,AR-04,Pioneer06,AR-04C,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06_AR-04_2016-05-12/,3204-00602_Quick_Look_Cruise_Report_Coastal_Pioneer_6_2016-06-21_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,CTD_sampling_log-AR-04C.xlsx,Pioneer-6_AR-04C_chlorophyll_analysis.xlsx,Pioneer-6_AR-04C_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,P6a,Pioneer06a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06a_Connecticut_2016-08-08/,3204-00605_Quick_Look_Cruise_Report_Coastal_Pioneer_6a_2017-08-14_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AR-08A,Pioneer07,AR-08A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07_AR-08_2016-09-27/,3204-00702_Quick_Look_Cruise_Report_Coastal Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,3204-00703_Cruise_Report_Coastal_Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,Ship Data/Water Sampling/,CTD_sampling_log_Pioneer_7_AR08A.xlsx,missing,missing,missing
Coastal_Pioneer,AR-08A,Pioneer07,AR-08B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07_AR-08_2016-09-27/,3204-00704_Quick_Look_Cruise_Report_Coastal_Pioneer_7_Leg_2_2017-01-26_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,CTD_sampling_log_Pioneer-7_AR08B.xlsx,missing,missing,missing
Coastal_Pioneer,P7a,Pioneer07a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07a_WJ_2017-01-16/,3204-00707_Quick_Look_Cruise_Report_Coastal_Pioneer_7a_2017-10-09_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,P7b,Pioneer07b,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07b_SI_2017-04-18/,missing,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AR-18,Pioneer08,AR-18A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00802_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_1_2017-06-03_Ver_1-00.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Water Sampling/,Pioneer_8_Leg_1_CTD_sampling_log.xlsx,missing,Pioneer-8_Nutrient_analysis.xlsx,missing
Coastal_Pioneer,AR-18,Pioneer08,AR-18B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00803_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_2_2017-09-13_Ver_1-01.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Water Sampling/,Pioneer_8_Leg_2_CTD_sampling_log.xlsx,missing,Pioneer-8_Nutrient_analysis.xlsx,missing
Coastal_Pioneer,AR-18,Pioneer08,AR-18C,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00804_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_3_2017-09-13_Ver_1-01.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Water Sampling/,Pioneer_8_Leg_3_CTD_sampling_log.xlsx,missing,Pioneer-8_Nutrient_analysis.xlsx,missing
Coastal_Pioneer,P8a,Pioneer08a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08a_WJ_2017-08-15/,3204-00807_Quick_Look_Cruise_Report_Coastal_Pioneer_8a_2017-10-09_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
