reference_designator,start_depth,end_depth,location
CE06ISSP-SP001-10-PARADJ000,0,29,Surface Piercing Profiler
CE07SHSM-MFD35-01-VEL3DD000,87,87,Multi-Function Node
CE07SHSM-MFD35-02-PRESFB000,87,87,Multi-Function Node
CE07SHSM-MFD35-04-ADCPTC000,87,87,Multi-Function Node
CE07SHSM-MFD35-05-PCO2WB000,87,87,Multi-Function Node
CE07SHSM-MFD35-06-PHSEND000,87,87,Multi-Function Node
CE07SHSM-MFD37-01-OPTAAD000,87,87,Multi-Function Node
CE07SHSM-MFD37-03-CTDBPC000,87,87,Multi-Function Node
CE07SHSM-MFD37-04-DOSTAD000,87,87,Multi-Function Node
CE07SHSM-MFD37-06-CAMDSA000,87,87,Multi-Function Node
CE07SHSM-MFD37-07-ZPLSCC000,87,87,Multi-Function Node
CE07SHSM-RID26-01-ADCPTA000,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-04-VELPTA000,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-05-ACOMM0000,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-06-PHSEND000,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-07-NUTNRB000,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-08-SPKIRB000,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-01-OPTAAD000,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-02-FLORTD000,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-03-CTDBPC000,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-04-DOSTAD000,7,7,Near Surface Instrument Frame
CE07SHSM-SBD11-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CE07SHSM-SBD11-02-HYDGN0000,0,0,Buoy Well
CE07SHSM-SBD11-04-PCO2AA000,0,0,"Buoy Well (1 probe in air, 1 probe in water)"
CE07SHSM-SBD11-06-METBKA000,-3,-3,Buoy Tower
CE07SHSM-SBD12-03-HYDGN0000,0,0,Buoy Well
CE07SHSM-SBD12-04-VELPTA000,1,1,Bottom of Buoy
CE07SHSM-SBD12-05-WAVSSA000,0,0,"Buoy Well, center of Mass"
CE07SHSP-PL001-01-ACOMM0000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-01-DOSTAJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-02-VELPTJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-04-OPTAAJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-05-NUTNRJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-06-SPKIRJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-07-FLORTJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-08-CTDPFJ000,0,87,Surface Piercing Profiler
CE07SHSP-SP001-09-PARADJ000,0,87,Surface Piercing Profiler
CE09OSPM-WF001-01-VEL3DK000,15,540,Wire Following Profiler Body
